keyword_korba,is_metaphorical_19,freq_korba
matematyczny,0,0
kosa,1,20
elektryczny,1,0
ropa,0,0
oswiecic,1,0
telegraficzny,0,0
parowy,0,0
kolo,1,142
przedsiewziecie,1,14
olow,0,18
ciecz,0,0
elektrycznosc,1,0
filozoficzny,0,0
proch,1,61
kolumna,0,29
woz,0,64
napiecie,0,0
lodz,0,0
miecz,0,47
plyta,0,0
miedziany,1,12
cisnienie,0,0
piec,0,130
przemysl,0,0
profesor,0,0
atmosfera,0,0
kwas,0,0
wegiel,0,25
tkanka,0,0
nauka,1,119
szyna,0,0
fabryka,0,0
dym,0,28
strzelba,0,14
mozg,1,13
szabla,1,32
firma,0,0
czynnik,0,0
miedz,0,14
prad,0,0
energia,1,0
roztwor,0,0
most,0,34
wybuchnac,0,0
dach,0,14
mechaniczny,0,0
lekarstwo,0,30
maszyna,1,0
ramy,1,20
towar,1,25
armata,0,22
lancuch,1,28
dzial,0,29
chemia,0,0
narzedzie,0,0
magnetyzm,0,0
strzal,1,26
zbadac,0,0
czastka,0,19
aparat,0,0
produkt,0,0
swiecic,0,23
wosk,1,28
filozofia,1,0
drzwi,1,93
budowac,0,36
urzadzenie,0,0
kopalnia,0,0
port,0,29
statek,0,17
usunac,0,0
instrument,1,30
wybuch,0,0
kometa,0,41
komin,0,15
kula,0,32
nauczyciel,0,0
rzemieslnik,1,13
kredyt,0,0
wyrob,0,0
pierwiastek,0,0
siekiera,0,14
ognisko,0,0
druk,0,0
robotnik,0,0
pojazd,0,0
siec,0,20
walek,0,0
bank,0,0
uniwersytet,0,0
mlyn,0,13
siarka,0,16
latarnia,0,0
lampa,0,16
bomba,0,0
topor,0,13
brama,0,34
czynny,0,0
kod,0,0
eter,0,0
komorka,0,0
ster,0,0
projekt,0,0
program,0,0
zlamac,1,12
mechanizm,0,0
beczka,0,46
fabryczny,0,0
magnes,0,0
przemyslowy,0,0
tryb,1,0
rama,1,0
zalamac,1,0
zelazo,0,25
